id,restaurant_name,restaurant_type_id,income_persentage,city_id
1,Restaurant 1,3,0.075,3
2,Restaurant 2,5,0.1,3
3,Restaurant 3,2,0.075,4
4,Restaurant 4,4,0.1,4
5,Restaurant 5,5,0.05,2
6,Restaurant 6,1,0.05,2
7,Restaurant 7,1,0.1,4
8,Restaurant 8,2,0.075,5
9,Restaurant 9,1,0.075,4
10,Restaurant 10,4,0.1,2
11,Restaurant 11,5,0.075,4
12,Restaurant 12,5,0.075,3
13,Restaurant 13,5,0.075,3
14,Restaurant 14,1,0.05,3
15,Restaurant 15,1,0.1,4
16,Restaurant 16,1,0.075,3
17,Restaurant 17,1,0.05,2
18,Restaurant 18,3,0.05,3
19,Restaurant 19,2,0.1,2
20,Restaurant 20,1,0.075,2
21,Restaurant 21,2,0.05,1
22,Restaurant 22,1,0.075,5
23,Restaurant 23,1,0.1,1
24,Restaurant 24,3,0.05,1
25,Restaurant 25,3,0.1,4
26,Restaurant 26,2,0.075,1
27,Restaurant 27,5,0.1,4
28,Restaurant 28,2,0.1,1
29,Restaurant 29,2,0.05,5
30,Restaurant 30,4,0.075,1
